CmpdID,neuSmi,y,src
cid6778,O=C(Oc1ccccc1)c1ccccc1C(=O)Oc1ccccc1,1,Tox21
cid8289,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,1,Tox21
cid5543,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,1,Tox21
cid456201,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1,Tox21
cid72075,CN1CCC(N(Cc2ccccc2)c2ccccc2)CC1,1,Tox21
cid79717,Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O,1,Tox21
cid5991,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,1,Tox21
cid64139,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,1,Tox21
cid41381,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1,Tox21
cid5284486,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,1,Tox21
cid5284469,C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,1,Tox21
cid7308,Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C,1,Tox21
cid62530,CC(C)(C)CC(C)(C)c1ccccc1O,1,Tox21
cid54459,c1ccc2c(c1)OCC(C1=NCCN1)O2,1,Tox21
cid8814,CC(C)(C)CC(C)(C)c1ccc(O)cc1,1,Tox21
cid65948,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,1,Tox21
cid6528,Cc1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,1,Tox21
cid4936,C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,1,Tox21
cid34468,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],1,Tox21
cid8455,CCC(C)(C)c1ccc(O)c(C(C)(C)CC)c1,1,Tox21
cid13940,O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,1,Tox21
cid13765,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,1,Tox21
cid28700,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,1,Tox21
cid5288209,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1,1,Tox21
cid6291,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,1,Tox21
cid1345,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,1,Tox21
cid91620,Cc1cc(CCC(=O)OCCOCCOCCOC(=O)CCc2cc(C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,1,Tox21
cid22833294,C=C1C(C)(C)[C@@]2(Cl)C(Cl)[C@]1(Cl)C(Cl)(Cl)C2(Cl)Cl,1,Tox21
cid27423,C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C,1,Tox21
cid6436059,CC(=O)/C=C/C=C1/C2CCC(C2)C1(C)C,1,Tox21
cid2225,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)=O)C1c1ccccc1[N+](=O)[O-],1,Tox21
cid11048796,CO/N=C(/C1=NOCCO1)c1ccccc1Oc1ncnc(Oc2ccccc2Cl)c1F,1,Tox21
cid171660,N=C1N=C(N)c2cc3ccccc3cc21,1,Tox21
cid44112,Cc1cc2c(OCC(CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1,1,Tox21
cid6529,Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1,1,Tox21
cid6693,O=C1OC(=O)c2cccc3cccc1c23,1,Tox21
cid70425,CC(C)(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,1,Tox21
cid1730,O=C(O)c1ccc([Hg]Cl)cc1,1,Tox21
cid29393,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],1,Tox21
cid2765,c1ccc(C2CC2)c(OCC2=NCCN2)c1,1,Tox21
cid91773,CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1,1,Tox21
cid163263,C=C[C@](C)(O)CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O,1,Tox21
cid439260,NC[C@H](O)c1ccc(O)c(O)c1,1,Tox21
cid11273,C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@]43C)[C@@H]1CCC2=O,1,Tox21
cid171144,CCCCCCCCCCCCc1ccccc1O,1,Tox21
cid73828,COC(=O)c1nc(Cl)c(Cl)nc1N,1,Tox21
cid119175,Cc1nnc2n1-c1sc(CCc3ccc(CC(C)C)cc3)cc1C(c1ccccc1Cl)=NC2C,1,Tox21
cid6758,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,1,Tox21
cid24321,c1ccc(CN(Cc2ccccc2)Cc2ccccc2)cc1,1,Tox21
cid37125,CCCSP(=S)(OCC)Oc1ccc(SC)cc1,1,Tox21
cid40520,CC(C)OC(=O)C(C)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,1,Tox21
cid1549520,C/C(=C\c1ccccc1)[N+](=O)[O-],1,Tox21
cid14090,O=CC(=O)c1ccccc1,1,Tox21
cid5282433,CCCCCOc1ccccc1/C(=C\SC)n1ccnc1,1,Tox21
cid3033968,C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,1,Tox21
cid1807,O=[N+]([O-])C1(Br)COCOC1,1,Tox21
cid114994,CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1,1,Tox21
cid86138,N#CC(CCc1ccc(Cl)cc1)(Cn1cncn1)c1ccccc1,1,Tox21
cid66030,CCCCCCCCCCCCc1ccc(O)cc1,1,Tox21
cid37907,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,1,Tox21
cid59227,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,1,Tox21
cid443955,CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@@H]32,1,Tox21
cid7146,CC(C=O)c1ccccc1,1,Tox21
cid10269,COc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1,Tox21
cid929262,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@@]1(C)OC(=O)C[C@H]21,1,Tox21
cid193949,CC(C)OC(=O)c1cc2c(OCC(O)CNC(C)(C)C)cccc2[nH]1,1,Tox21
cid449459,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1,Tox21
cid10839,CC1CCCCN1CCCOC(=O)c1ccc(OC2CCCCC2)cc1,1,Tox21
cid91735,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,1,Tox21
cid5280795,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C,1,Tox21
cid83119,CC(C)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,1,Tox21
cid997,O=C(O)C(=O)Cc1ccccc1,1,Tox21
cid6259,O=C(CBr)c1ccccc1,1,Tox21
cid5288783,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)/C=C/[C@@H](O)C2CC2)C[C@@H](O)C[C@@H]1O,1,Tox21
cid14716,CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1,1,Tox21
cid18980,N=C1N=C(N)c2ccccc21,1,Tox21
cid61053,CCOc1ccc(NC(=O)CC(C)=O)cc1,1,Tox21
cid4768,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,1,Tox21
cid5482,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,1,Tox21
cid7097,CC(=O)OC(OC(C)=O)c1ccc([N+](=O)[O-])o1,1,Tox21
cid8256,O=CC(Br)(Br)Br,1,Tox21
cid43226,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,1,Tox21
cid338733,CC(C)CCCCCCc1ccc(O)cc1,1,Tox21
cid75557,O=C(N=NC(=O)OCc1ccccc1)OCc1ccccc1,1,Tox21
cid5282138,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1,1,Tox21
cid623849,CC(c1ccccc1)(c1ccc(O)cc1)c1ccc(O)cc1,1,Tox21
cid65909,CC1(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)OCc2ccccc2-n2cccc21,1,Tox21
cid9561033,CC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,1,Tox21
cid11826859,C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl,1,Tox21
cid1057,Oc1cccc(O)c1O,1,Tox21
cid3884,CC(C)=CCC1=C(O)c2ccccc2C(=O)C1=O,1,Tox21
cid91744,COCC(C)N(C(=O)CCl)c1c(C)csc1C,1,Tox21
cid107080,CC(C)C(OC(=O)c1ccccc1)C(C)(C)COC(=O)c1ccccc1,1,Tox21
cid176879,COc1ccc(-c2ccccc2)cc1NNC(=O)OC(C)C,1,Tox21
cid34697,CC(C)CCCCCCCOP(=O)(Oc1ccccc1)Oc1ccccc1,1,Tox21
cid76013,CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1,1,Tox21
cid5280793,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C,1,Tox21
cid4474,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,1,Tox21
cid13530,O=C(CCl)C(Cl)Cl,1,Tox21
cid2450,O=[N+]([O-])C(Br)(CO)CO,1,Tox21
cid10403199,CSC1=N[C@@](C)(c2ccccc2)C(=O)N1Nc1ccccc1,1,Tox21
cid28768,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1cccnc1,1,Tox21
cid11774,c1ccc([Bi](c2ccccc2)c2ccccc2)cc1,1,Tox21
cid67005,Cc1c([N+](=O)[O-])cc2c(c1[N+](=O)[O-])C(C)(C)CC2(C)C,1,Tox21
cid20113,CC(C)(c1cc(Br)c(OCCO)c(Br)c1)c1cc(Br)c(OCCO)c(Br)c1,1,Tox21
cid6620,Cc1cc(C(C)(C)c2ccc(O)c(C)c2)ccc1O,1,Tox21
cid10757,O=C(CCl)c1ccccc1,1,Tox21
cid71482,COP(=O)(OC)SCn1c(=O)oc2cc(Cl)cnc21,1,Tox21
cid10346,Cc1cc(O)c(C(C)(C)C)cc1C(C)(C)C,1,Tox21
cid122087,CCC(C)(NC(=O)c1cc(Cl)c(C)c(Cl)c1)C(=O)CCl,1,Tox21
cid17570,Oc1ccc(Sc2ccc(O)cc2)cc1,1,Tox21
cid18728,BrCC(Br)C1CCC(Br)C(Br)C1,1,Tox21
cid51369,COC(=O)C(C)N(C(=O)Cc1ccccc1)c1c(C)cccc1C,1,Tox21
cid5897,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,1,Tox21
cid641298,COc1ccccc1/C=C/C=O,1,Tox21
cid170286,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,1,Tox21
cid5362417,COCCOC[C@H](CC1(C(=O)NC2CCC(C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2,1,Tox21
cid86211,CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,1,Tox21
cid34313,Cc1oc(C)c(C(=O)Nc2ccccc2)c1C,1,Tox21
cid69925,O[Si](c1ccccc1)(c1ccccc1)c1ccccc1,1,Tox21
cid6629,CC(C)(OO)c1ccccc1,1,Tox21
cid22094,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1,Tox21
cid10522,CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1,Tox21
cid73668,CC(C)C(O)(c1ccc(OC(F)(F)F)cc1)c1cncnc1,1,Tox21
cid9855795,C=C(C)[C@@H]1CCC2=CCC[C@@H](C)[C@]2(C)C1,1,Tox21
cid177,CC=O,1,Tox21
cid15529,Oc1ccc(/N=N/c2ccccc2)cc1,1,Tox21
cid24290,Cl[Pd]Cl,1,Tox21
cid6828,CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,1,Tox21
cid9414,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,1,Tox21
cid102724,Oc1ccc(C2(c3ccc(O)cc3)CC3CC2C2CCCC32)cc1,1,Tox21
cid11742,CC(C)(c1ccccc1)c1ccc(O)cc1,1,Tox21
cid60196294,Cc1ccc(C=C2C(=O)C3CCC2C3(C)C)cc1,1,Tox21
cid84677,Oc1ccc(C(=C(Cl)Cl)c2ccc(O)cc2)cc1,1,Tox21
cid86222,CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl,1,Tox21
cid16760153,C#CCC1=C(C)[C@H](OC(=O)[C@H]2[C@H](C=C(C)C)C2(C)C)CC1=O,1,Tox21
cid4420,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,1,Tox21
cid62329,Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-],1,Tox21
cid99016,CCCC(C)c1ccccc1O,1,Tox21
cid586708,CCCCCCCCCOC(=O)c1ccc(O)cc1,1,Tox21
cid213032,CC1(c2ccc(Oc3ccccc3)cc2)OC(=O)N(Nc2ccccc2)C1=O,1,Tox21
cid71027,O=CC=C(c1ccccc1)c1ccccc1,1,Tox21
cid7492,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,1,Tox21
cid73848,OCc1c2ccccc2cc2ccccc12,1,Tox21
cid6777,O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1,1,Tox21
cid100524,COP(=S)(NC(C)C)Oc1ccc(C)cc1[N+](=O)[O-],1,Tox21
cid86210,CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,1,Tox21
cid6451155,CCOC(=O)C1=NOC(c2ccccc2)(c2ccccc2)C1,1,Tox21
cid444212,O=C(O)/C=C(\CC(=O)O)C(=O)O,0,Tox21
cid637566,CC(C)=CCC/C(C)=C/CO,0,Tox21
cid4766,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,0,Tox21
cid8739,NS(=O)(=O)c1ccc(C(=O)O)cc1,0,Tox21
cid4904,OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,0,Tox21
cid65708,O=C(O)CCc1nc2ccccc2[nH]1,0,Tox21
cid439524,CC(C)C[C@@H](N)C(=O)O,0,Tox21
cid7329,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O,0,Tox21
cid667466,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,0,Tox21
cid2333,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,0,Tox21
cid546,O=C(O)CP(=O)(O)O,0,Tox21
cid3151,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,0,Tox21
cid65758,Clc1ccccc1-c1nc(-c2ccncc2)no1,0,Tox21
cid5694,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,0,Tox21
cid4614,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,0,Tox21
cid2266,O=C(O)CCCCCCCC(=O)O,0,Tox21
cid2170,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,0,Tox21
cid180559,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,0,Tox21
cid1727,Nc1ccncc1,0,Tox21
cid2081,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,0,Tox21
cid1989,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,0,Tox21
cid2130,NC12CC3CC(CC(C3)C1)C2,0,Tox21
cid5283389,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O,0,Tox21
cid1967,CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O,0,Tox21
cid1935,Nc1c2c(nc3ccccc13)CCCC2,0,Tox21
cid2265,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,0,Tox21
cid135398513,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,0,Tox21
cid2244,CC(=O)Oc1ccccc1C(=O)O,0,Tox21
cid2141,NCCCNCCSP(=O)(O)O,0,Tox21
cid1986,CC(=O)Nc1nnc(S(N)(=O)=O)s1,0,Tox21
cid2230,COC(=O)C1=CCCN(C)C1,0,Tox21
cid12035,CC(=O)N[C@@H](CS)C(=O)O,0,Tox21
cid16231,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,0,Tox21
cid564,NCCCCCC(=O)O,0,Tox21
cid2157,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,0,Tox21
cid2119,C=CCc1ccccc1OCC(O)CNC(C)C,0,Tox21
cid2123,CN(C)c1nc(N(C)C)nc(N(C)C)n1,0,Tox21
cid2145,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,0,Tox21
cid2196,COc1ccc(C(=O)N2CCCC2=O)cc1,0,Tox21
cid2471,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,0,Tox21
cid2284,NCC(CC(=O)O)c1ccc(Cl)cc1,0,Tox21
cid2369,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,0,Tox21
cid2477,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,0,Tox21
cid2717,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,0,Tox21
